,title,excerpt,commentCount,likeCount,topics,forumName,gender,school,totalCommentCount
0,#分享 【美股破前低而台股沒有】5/20,台股意外地強美股昨晚破前低但是今天台股卻直接收紅盤面觀察1 該破前低而未破前低表示刻意護盤2 昨日台指夜盤原本有續跌而且美股昨晚也大跌但是神秘的手將台指夜盤一路往上撐導致今天的開,6,9,"['台股', '美股', '投資', '股票']",股票,M,MY叔的投資之路,12
0,#分享 看新聞操作權證 韭菜空#1,今日標的晶宏3141早上看到利多新聞 空大約股價172的時候空技術面看到今天表現沒站上38跳空缺口長方形兩個圈起來部分 右圈走勢與左圈我是覺得蠻類似且搭配macd 紅,3,4,"['權證', '韭菜', '新聞']",股票,M,育達科技大學,13
0,#其他 認同開詐騙版的請幫忙按個愛心❤️希望可以集中詐騙區，提告被詐騙的警覺，不要有更多受害者了！,,1,3,"['申請', '詐騙', '開板連署文', '連署', '開版']",股票,F,洋蔥奇士,1
0,#分享 5/20 盤勢分析 - 說好的下跌呢?怎麼漲上去了,經過目標百貨TGTUS財報的薰陶應該不少人覺得股市又要被血洗了但昨晚的美股卻異常的平靜而今天的台股與那指期貨來看似乎還有點反彈的趨勢應該一堆人滿頭問號必須說這就是股市常態因為市,0,2,"['投資', '台股', '股票', '理財', '股市']",股票,M,東海彼得,0
0,#分享 中信金紀念品-智能肩頸紓緩儀開箱,剛剛去股代那邊領回來還是搞不懂這個機器說明寫有12種舒壓模式跟15種強度可以調類似電療放鬆的樣子我按紐壓來按去放在脖子上沒甚麼感覺然後它也沒有顯示的地方搞不清楚現在是甚麼模式有人,11,15,"['紀念品', '中信', '股票']",股票,M,國立東華大學,23
0,#新聞 下週崩盤，萬五見,昨天台指夜盤急拉500點漲到520也就是今天準備來個大跳水今天沒逃的保重了高盛台積目標價,41,24,[],股票,M,國立成功大學,136
0,#請益 聯電零股紀念品,想問一下聯電零股的紀念品只能到新竹去領嗎還是有其他地方可以代領上禮拜有拿到代領處問能不能代領他口氣很差的說只能去新竹自己領弱弱的問一下除了親自出席之外還有其他方式嗎,2,2,[],股票,F,朝陽科技大學,2
0,#請益 股利發放通知書暨領取單地址,小女子是今年的投資新手這兩天突然想到如果發放股利應該會收到一張股利發放通知書暨領取單的通知書想問一下地址會寄到哪裡如果要更改地址應該要到哪裡改本身是使用永豐大戶投開始買股是為了存股但家,6,11,"['股利', '通知', '股票', '存股', '新手']",股票,F,可可好朋友,16
0,#請益 現在大家都買什麼呢？,這一週一週的顧眼睛終於週五了 難得收紅網傳說是搭上520行情不確定這到底是指什麼平常反而不看盤 每天跌的時候 反而才開app倒不是因為怕虧損 而是在思考要撿什麼選來選去選不出來綠綠的每個,10,5,"['股票', '理財', 'ETF', '請益', '存股']",股票,F,嶺東科技大學,10
0,#請益 大家都是如何檢討呢,如題最近想做盤後檢討大家是用word excel還是筆記本手寫呢感謝,5,1,[],股票,M,淡江大學,9
0,#分享 520行情,本週週線收紅改變過去連3黑的走勢加上近期新台幣轉強外資期貨由空翻多有機會在短線上打底向上挑戰16696的空方壓力區盤面焦點今日漲停家數高達26家其中幾乎都是近期提到的中小型股漲勢,0,1,"['投資', '股票', '理財', '台積電', '台股']",股票,M,  ,0
0,#請益 2022菱生零股股東紀念品,各位前輩好我今年一月才剛入股市的新人我在最後買進日前買了一股菱生想要領取股東紀念品已經去電子投票完了但是最近還沒收到開會通知書想請問是還沒寄出嗎還是股數太少就不會寄了另外網站上說徵求書,6,1,"['請益', '零股', '紀念品', '股票', '菱生']",股票,F,中原大學,17
0,#分享 有賺不能賠，6508 惠光先回補，小賺零用錢,昨日空在467的轉折起跌處今日補在459小賺117今天的思考點1大盤走520告白行情逆勢上漲那麼個股也會有所倚仗借勢表現2如果大盤持續在萬六橫盤個股整理久了都會有反彈機,1,6,"['投資', '股票', '台股', '技術分析', '標的']",股票,F,Julie,3
0,#請益 元大證券戶可直接提款嗎？,元大證券戶跟交割戶都同是同一間元大銀行近期想提出股票的獲利想詢問是直接帶領當初申請的元大提款卡就可以到ATM直接提領現金嗎還是又要先從證券戶轉到交割戶呢因為本人第一次提領股票錢不太懂,3,0,"['元大證券', '股票', '金融']",股票,F,蔚藍的雲,7
0,#其他 大盤似乎有回穩趨勢，你的持股目前損益狀況如何,大盤似乎有回穩趨勢你的持股目前損益狀況如何Option 1 10至10  還算平穩沒賺沒賠Option 2 10以上  賺錢上沖下洗還是賺Option 3 10,0,3,"['大盤', '股票', '台股', '股市']",股票,M,國立政治大學,0
0,05/20 三大法人買賣金額統計, 三大法人買賣金額統計 億元 單位名稱  買進金額  賣出金額  買賣差額自營商自行買賣  1483  1759  276自營商避險  5994  5,0,2,"['台股', '三大法人']",股票,D,巴菲特 Bot 零號機,0
0,#請益 藥局股該抱還是該賣,唾液快篩今天開賣除了各大超商藥局或是美妝店都有在賣相較於戳鼻子讓很多人不舒服市場上普遍期待唾液快篩原本以為藥局股會因此漲不少今天看一下大沒有特別噴大概是因為貨源不算少通路又很多元所以沒,3,0,[],股票,F,國立東華大學,3
0,#新聞 徵求長榮鋼鐵委託書 弟弟派祭出廣告戰,記者王憶紅台北報導長榮集團大哥派弟弟派經營權首戰的長榮鋼鐵2211將在6月10日召開股東會目前已進入股東會開會通知書陸續寄發的階段而為徵求更多的委託書弟弟派也開始在網路上大打徵求委,1,1,"['長榮', '投資', '股票', '台股', '股市']",股票,F,(๑•́ ₃ •̀๑),1
0,#分享 #分享 穩定獲利的祕訣,絕大多數人進入股市幣圈的目標就是賺錢隨著每天行情的劇烈震盪大家都想掌握一套穩賺不賠的交易方法不過很遺憾世界上不存在完美的交易系統不過卻有著一套穩定獲利的方法那就是 維持交易的一致性,0,1,"['分享', '投資', '股票', '理財', '股市']",股票,M,Stock trader,0
0,#分享 每日連續當沖 day3,嗨嗨我是吐司最近閒來無事想說來分享一下我的每日做單邏輯跟技術沒其他事的話會每日貼但不保證每日連載  ω 先講解一下我的做單邏輯我只單純用K棒來進出場不看任何籌碼以及消息面偶爾看一,3,9,"['投資', '股票', '當沖', '技術分析', '分析']",股票,M,吐司吐司,7
0,#標的 5/20大盤盤後數據,股指期貨多單增3491單空單平倉1702單累積33247多單27654空單股票期貨多單增1830空單增7039累積56811多單330315空單多空比 1581選擇權賣,1,8,"['標的', '大盤', '股票']",股票,M,asds,3
0,#請益 台積電要賣掉換00878？,有沒有人可以給我意見 台積電我承認我要存到一張很難,28,13,[],股票,M,正修科技大學,63
0,#請益 請問換股東紀念品的店家有什麼好處？,今天去換某一支股票的紀念品的時候前一個人也是跟我要換同家公司的紀念品店家看了單子後跟他說換完了而且態度不太好可是我拿給店家換確說還有而且還很有禮貌我買的這隻股票買了300多張這樣他們是有什麼,3,6,"['紀念品', '店家']",股票,M,王子,10
0,#請益 何壽川成功轉型，蘋果測試元太電子紙?? 元太看多??,自從永豐大家長何壽川將經營交給專業經理人團隊並開始積極推廣醣經濟致力於循環再生能源 有全台最大沼氣發電廠利用自己研發的技術 把廢棄物變成SRF燃料在減碳上貢獻不少 是滿看好循環經濟的永豐旗下,0,0,"['蘋果', '測試', '元太', '永豐']",股票,M,逢甲大學,0
0,05/20 台股收盤指數, 大盤收盤統計 加權指數1614485  12453078櫃買指數19766  055028台股成交金額197899 億今日漲幅榜代號  股名  ,0,0,"['台股', '今日台股']",股票,D,巴菲特 Bot 零號機,0
0,#其他 哲哲說不容易破萬五......,空襲警報聲響通膨升息憂慮再起今天台股一度大跌超過400點不過終場跌幅收斂下跌276點力守萬六大關很多投資朋友都在問台股還會再破底嗎底部會在哪裡我先跟各位投資朋友說我的看法首先台股在,13,6,[],股票,F,輔仁大學,21
0,#請益 請問現金股利甚麼時候會入帳呢,剛入股市第一次參加除權息我有五張00878除權息日是518這季配發032現金股利所以我應該可以領到1500圓可是今天520了剛剛中午看還沒入帳請問一般現金股利是除權息後幾天發呢感恩,3,8,"['請益', '股利', '除權息', '股票']",股票,M,國立東華大學,5
0,#請益 請問貸款到30萬，做長線波段。有機會賺回當沖賠的100萬嗎？,請問貸款到30萬做長線波段有機會賺回當沖賠的100萬嗎年利率888 分7年,17,5,"['請益', '貸款', '投資', '股票', '理財']",股票,M,匿名,22
0,#分享 2022開發金股東紀念品,今年開發金的紀念品是彩繪花鳥碗6入又可以吃更多飯了就在昨天才剛收到通知單今天立馬手刀領取以上簡易開箱完畢需要碗拿來吃東西的朋友們趕快去領唷下台一鞠躬,86,495,"['開發', '紀念品', '股票', '台股']",股票,F,中華醫事科技大學,281
0,#分享 戒不掉的當沖，請各位神童們指點迷津。,近三日當沖對帳單去年7月到現在賠了將近10萬現在稍有點感覺但還是覺得有點無腦的選標的請教各位股市神童們該如何操作或怎麼戒掉當沖一天不沖覺得手癢癢,26,12,"['當沖', '股票', '台股', '新手', '請益']",股票,M,股市小菜雞,32
0,#請益 請問有人收到開發金的股利通知單嗎？,今年開發金送故宮的碗不知道各位收到股東通知單了嗎應該會很搶手很怕股代馬上又被兌換完畢順帶一提有人也是定期定額金融股嗎最近跌好慘不知道要不要出掉手上的,12,6,"['請問', '股利']",股票,M,賈斯丁,44
0,#請益 請問定期定額006208但是還沒有湊到1張 這樣可以領股息嗎,如題,7,1,"['股息', '股利', '投資', '理財']",股票,F,國立臺北大學,7
0,#分享 天天看自己選的股票漲停,天天看自己選的股票漲停覺得很開心心裡覺得跟諾貝爾經濟學獎又近了一步,3,0,"['分享', '股市', '投資', '理財', '台股']",股票,M,神算Ricky,24
0,#分享 終於賺錢了,最牛的一年我賠錢反而第一年買了好多書去學習看線圖反而操作到最後變的一團亂再加上遇到2021年五月連續跌停好多天不知道該怎麼去處理的我帳面上直接從賺三萬變成了賠12萬如今終於用了自己的方法慢,27,61,"['股票', '台股', '新手']",股票,M,L,45
0,#分享 投資基本觀念,奇夢家經營管理網站認為投資尤其是台股應由短期投資改成短中期投資以追求穩健且大幅獲利為目的目前台股處於熊市看盤判斷短期趨勢後再決定交易才是明智選擇,0,0,"['投資', '理財', '台股', '股市', '金融']",股票,M,神算Ricky,0
0,#請益 如果資金不夠多建議先一張？,我想再買鴻海但是我股票只有一張其他都散的要先買幾股鴻海嗎 有人可以給我意見嗎沒有要伸手牌 只想聽意見想買鴻海的因為是電動車 跟配息都不錯,21,5,['建議'],股票,M,正修科技大學,47
0,#分享 消息面重不重要？,奇夢家經營管理網站認為1 公開的外資報告絕對不要相信因為你沒有付錢只配幫忙抬轎或當犧牲者2 公開的新聞不要相信因為你不是付錢登新聞的3 內線消息不要相信因為你不是老闆而且客戶隨時,0,0,"['消息', '理財', '台股', '股市', '新聞']",股票,M,神算Ricky,0
0,#分享 零售業財報日重挫，大開眼界的跌法,一連2天零售業巨型企業炸開的財報WMT沃爾瑪與TGT塔吉特先從類股ETF講起XLP必須消費品ETF與RTH零售業ETF一邊生產製造商與另一邊通路販售從下面2張圖就很清楚知道零售業者從12,0,3,"['投資', '股票', '美股', '新手', 'ETF']",股票,M,股狼球隊,0
0,#分享 【反彈至壓力後出現反轉K線】5/19,沒有台指結算干擾台股今日盤中又繼續跟著美股盤後電子盤起起伏伏最後收了下影線還是歸功於拉抬航運族群盤面觀察1 從512反彈至518519的K線首次出現高點變低低點也變低的慣性改變 ,0,4,[],股票,M,MY叔的投資之路,0
0,#分享 5/19 強勢族群&財經新聞,519  強勢族群財經新聞這幾天看到身邊很多投保防疫險的朋友被退件算是有一點傻眼吧不過倒也不是完全不能理解單單台產短短賣了幾個月時間就已經理賠到8億多了這還只是去年的部分,0,5,"['財經', '新聞', '投資', '股票', '防疫險']",股票,M,happytrade22,0
0,#分享 台股準備反轉向上,從短線來看今天9點到11點都是在殺融資所以等到殺到融資斷頭指數就往上拉了100多點從長線來看台股已經走完下跌三浪而且A浪和C浪差不多長都是2000點左右空八蛙和空你七蛙再不回補就準備被,37,34,"['分享', '台股', '股票', '投資', '理財']",股票,M,國立臺灣大學,75
0,#分享 股神就是股神 巴菲特三大投資佈局 避過股災 財富不減反增！,巴菲特三大投資佈局 避過股災 財富不減反增,0,2,"['投資', '股票', '台股', '美股', '股市']",股票,M,打敗巴菲特,0
0,#分享 5/19 盤勢分析 - 零售業殞落，開始衰退了嗎?,HI大家好我是彼得好久不見了先前因為卡稱被ban所以有一陣子沒來了在這段期間我還是在其他平台持續分享最近帳號解封又回來啦因為內容是與其他平台同步的可能內容會有些簡略覺得有困惑的地方,0,1,"['台股', '股票', '理財', '投資', '美股']",股票,M,東海彼得,0
0,#其他 被詐騙說能追回都是騙人的！！,網路如果有人跟你說他被騙的錢透過誰誰誰追回或是付一些錢就可以追回剩下的錢全都是假的是假的是要把韭菜的根都拔起騙完人後利用人們想追回錢的心理再騙一次這招在大陸已經玩到爛掉了請受害者勿再,4,7,"['詐騙', '追回', '詐欺']",股票,M,元智大學,5
0,#分享 手指很粗錯了嗎🥺那些發生在台股歷史上的「胖手指事件」,最近我有位朋友在桃園買了房子如此大喜之事當然要找機會去他家慶破祝壞一下終於在某日凌晨 房屋主人正在熟睡之際我們幾位好友就提著啤酒跟鹽酥雞前去表達我們的祝賀我們交情很好常常這樣開玩笑 ,7,180,"['手指', '台股', '歷史', '投資', '股票']",股票,M,眠月,9
0,#標的 台股大跌怎麼賺,元太今天創新高收盤價2005買在1885 賣1995當沖開盤186比昨日收盤1935還低很多我看它本身是多頭向上開這麼低先觀察看一下基本面和大盤走向發現逆著大盤上漲,13,22,[],股票,M,古早味,41
0,#其他 這波大跌 應該沒有人再進場了吧,大家應該都是滿手現金等著抄底該停損的都停完了接下來就是做空時間了對吧 嘻嘻,23,18,[],股票,M,國立高雄應用科技大學,27
0,#新聞 航運該高歌離席？,美股周三重挫台股今19日開低走低盤中一度下滑至1589273點下跌40413點各類股齊挫航運股跌勢沈重類股指數盤中重挫逾3占大盤成交比重達18航運股跌勢這麼兇該怎麼操作,8,2,[],股票,F,輔仁大學,10
0,#分享 每日連續當沖 day2,嗨嗨我是吐司最近閒來無事想說來分享一下我的每日做單邏輯跟技術沒其他事的話會每日貼但不保證每日連載  ω 先講解一下我的做單邏輯我只單純用K棒來進出場不看任何籌碼以及消息面偶爾看一,4,5,"['投資', '當沖', '分析', '股票', '技術分析']",股票,M,吐司吐司,13
0,#請益 存股請益,各位股神大家好小妹今年剛出社會手上有一筆20萬左右的資金之前一直是丟在郵局裡面定存但後來發現利息少到可以忽略不計於是起了存股買ETF的念頭想請問各位大神比較推薦哪支呢目前心目中的選擇有V,14,12,"['請益', '存股', '定存股', '新手', 'ETF']",股票,F,國立屏東科技大學,38
0,#分享 選股大於選市,受昨日美股影響今日指數再次下探萬六投信在連買多日後也出現持股鬆動的跡象反倒是櫃買方面依舊守在均線之上外資投信也持續加碼盤面焦點今日個股結構並不差主要殺盤重心在昨日拉高結算的金融類股強,0,3,"['投資', '股票', '理財', '台積電', '台股']",股票,M,  ,0
0,#分享 2022中鋼股東贈品領取+開箱,今天2022519收到中鋼股東會的通知單了518526可以去領贈品喔這是通知單正面的樣子背面長這樣其實每年的樣子都差不多啦只是今年我是親自去領贈品的不需要證件直接去現場,19,47,"['分享', '中鋼', '贈品', '股票', '台股']",股票,M,歐北來,52
0,05/19 三大法人買賣金額統計, 三大法人買賣金額統計 億元 單位名稱  買進金額  賣出金額  買賣差額自營商自行買賣  1651  2145  494自營商避險  5841  8,1,2,"['台股', '三大法人']",股票,D,巴菲特 Bot 零號機,1
0,#標的 主力怎麼都跟我反著做？,中美晶我買了就跌看開了停損賣了就漲為什麼等我受不了停損了你才漲上來160,17,19,"['標的', '股票', '中美晶', '主力', '停損']",股票,M,國立中央大學,64
0,#分享 可以抄底了,你可以去澳洲抄,13,9,"['投資', '股票', '美股']",股票,M,國立高雄科技大學,15
0,#分享 台股強收下影線，真的止跌了嗎?不要隨便抄底~,美股四大指數全數跌破五日線千萬不要抱著僥倖的心態認為台股能夠獨善其身強守萬六繼續反彈今天尾盤利用了航運股幫忙拉個下影線製造出台股有夠強的表現就經驗而言下跌趨勢中反彈遇到壓力後出現,4,11,"['台股', '股市', '技術分析', '盤勢分析', '投資']",股票,F,Julie,11
0,#請益 會去關注政策概念股嗎？,台股與國際股市連動密切受到美股震盪影響今年以來大盤表現疲弱伴隨成交量低迷技術面也難見轉強盤面上僅有少數族群有表現不過仔細觀察仍有少數電子股囊括了市場上有限的資金這些熱門股有一個共通性政,2,0,"['政策', '股票', '股市', '台股']",股票,F,國立宜蘭大學,2
0,#標的 5/19大盤盤後數據,股指期貨多單平倉635單空單增666單累積29756多單29356空單股票期貨多單增6252單空單增9939單累積54981多單323276空單選擇權賣權增2566買權,4,5,"['標的', '大盤', '股票']",股票,M,asds,16
0,#新聞 《長榮集團生機之戰11》張國華掌舵績效佳 長榮集團創「兆」新紀元,長榮集團今年第一季報佳績海運航空鋼鐵等三家公司獲利創新高在張國華掌舵長榮集團這六年來成績有目共賭業績推升股價讓集團市值在2021年底突破兆元張國華率領長榮集團正式成為台灣新的兆元集團企,0,1,"['長榮', '投資', '新聞', '標的']",股票,F,(๑•́ ₃ •̀๑),0
0,05/19 台股收盤指數, 大盤收盤統計 加權指數1602032  2765417櫃買指數19711  063032台股成交金額230659 億今日漲幅榜代號  股名,0,2,"['台股', '今日台股']",股票,D,巴菲特 Bot 零號機,0
0,#標的 大家怎麼看營建股大將？,今天大盤又在跌所以好奇心驅使下看看今天有幾支股票在噴看到大將再創新高而且多空趨勢線也是不斷攀升今年從8快噴到今天30快漲停覺得爆炸扯也沒看到有什麼新聞請問有人關注這一支嗎還是荷,11,6,"['投資', '股票', '理財', '台股', '新手']",股票,M,靜宜大學,34
0,#分享 巴菲特最推崇的交易方式！價值投資基礎介紹懶人包~,在上一篇文章中和大家聊到第二種交易方式波段交易而這次Dr David就要來和大家聊聊第三種交易方式價值投資今天的主題幫大家整理了價值投資的相關資訊大家可以花短短五分鐘的時間來看這篇文章從基,0,8,"['交易', '巴菲特', '股票', '理財', '投資']",股票,M,Dr. David,0
0,#請益 會有520行情嗎?,520是一年一度的我愛你紀念日因此大家都會互相喜愛導致股市大漲和樂融融才不是520是總統就職日市場期待股市能在當日出現激勵行情如果當天崩的很慘大概總統發表談話的時候也會被噴爛哈,25,87,"['行情', '投資', '股票', '台股']",股票,F,東海大學,34
0,#標的 盤後分析2022-05-19,20220519當日領漲族群當日領跌族群傳產電子金融類股盤勢內容 鮑爾繼續升息直到通貨膨脹回落美國聯準會Fed主席鮑爾表示中央銀行將繼續升息直到有明顯和令人信服的,0,1,"['分析', '投資', '股票', '理財', '台股']",股票,M,股市大象,0
0,#請益 整股與零股交易成本價差,大家好這問題困擾好一陣子都在網上找不到解答所以問問有沒有好心人幫解惑或許也有其他人也會有相同問題可以一同得救事情是這樣的我原本持有鈺創2225股也就是2225張成本為667股,8,7,"['零股', '價差', '股票', '請益']",股票,F,YY,18
0,#分享 推薦適合投資新手的中文美股資訊網站FinGuider,這邊最近美股新手上路試用了無數個國內外網站後發現一個好用的平台可以推薦給大家這是由台灣新創團隊自己開發的美股網站FinGuider網址個人使用後覺得有幾大特色1完整的股票數據庫凡舉美股,6,6,"['推薦', '投資', '新手']",股票,M,國立成功大學,6
0,#分享 現在0050適合持續加碼嗎？,剛接觸股票半年多目前定期定額1萬 0050請問各位適合持續加碼嗎備用金足夠應付2年生活沒問題,13,8,['股票'],股票,M,亞東科技大學,15
0,#分享 其實今天大盤應該是要上漲的,如果今天三樓不空的話大盤指數應該是上漲的,9,3,"['分享', '大盤', '投資', '台股', '股市']",股票,M,789,10
0,#請益 #請益 有人用過玉山證卷的款項借貸的功能嗎？,我前幾天開了這個功能本來打算抵押台中銀去借一些錢出來然後再重新買股票但是我問了一下我的專員 她的回覆是年利率64但是我看了一下其他網路上的資訊都是235而已 為什麼會差這麼,1,0,"['請益', '玉山', '證卷', '台股']",股票,M,好人,1
0,#其他 #問題 今天又跌了大家的資金怎麼控制,想問大家目前的現金部位佔幾本人只買美股大盤道瓊納指費半500目前30現金70股票已經買很多感覺會再跌資金部位怎麼配置比較好,9,6,[],股票,M,臺北市立大學,12
0,#分享 想在股市賺錢必須認識的2大關鍵 - 停損與停利,當我們在股票市場闖蕩時常常會聽人說投資紀律很重要要好好保持投資紀律那投資紀律到底要怎麼執行呢第一步就是設好自己投資的進出場條件每個人都有屬於自己的獨門心法依據基本面或是技術面等等不,1,11,"['股市', '賺錢', '投資', '新手', '理財']",股票,F,世新大學,4
0,#請益 今天有人存股嗎,好奇想問一下今天有人存股嗎有存股的朋友可以出個聲嗎,84,24,[],股票,M,正修科技大學,130
0,#其他 遇到股市當日大跌，你會？,遇到股市大跌你會Option 1 瘋狂抄底Option 2 轉職空軍Option 3 清庫留現金Option 4 按兵不動,11,3,"['股市', '股票', '台股', '大盤']",股票,M,國立政治大學,11
0,#分享 繼續勸世 空頭當道 現金為王,分享 遠離股海上禮拜說了所有的反彈皆屬回光返照 都是讓你們降持股了 不知道有沒有好好把握此次機會不要傻傻的讓大戶法人 出貨繼續預言 今年第四季的時候 會有一波大逃殺我的話點到為止,6,8,"['投資', '股票', '理財', '台積電', '台股']",股票,M,健行科技大學,9
0,#分享 精準預測,518 晚上 跟一堆看漲說要翻多了的分析師唱反調 說只是跌深反彈 不要太開心 卻迎來一堆謾罵519 早上美股大崩我就是準啊分析師要執照 卻只會看漲喊漲 看跌又會叫會員繼續抄底 越抄越底如,3,0,"['預測', '分享']",股票,M,國立高雄大學,3
0,#分享 美股雪崩，明天台股會怎麼走？,半夜泡奶之記錄一下雪崩畫面看到嚇不醒我眼睛睜不開要繼續睡了,13,8,"['美股', '台股', '大盤', '四大指數', '投資']",股票,F,Julie,26
0,#分享 震盪行情，關注2330,來談談台積電目前台積守在500上方拉升電子股上漲也讓大盤拉升到萬六可以注意一下未來23週在520540間的震盪區間是否跌破破了就宣告多方陣亡近期大盤震盪會很頻繁小心別多空雙爆了,8,10,[],股票,M,期指小凱哥,9
0,#其他 美股千點跌幅….,好吧我畢業了大家好好撐下去,11,9,['美股'],股票,M,國立成功大學,50
0,#請益 當沖,請問當沖一定要開信用戶嗎如果不用開的話那放空股票該怎麼放空呢,6,1,"['當沖', '股票']",股票,M,元智大學,29
0,#請益 新光證券出借股票收入,第一次使用雙向借券還不知道我所出借的收入何時會入我戶頭因為今天已經查到股票入集保存摺但利息收入不知道何時才會收到謝謝,3,0,"['收入', '股市']",股票,F,嶺東科技大學,9
0,#請益 買紅K或買綠K？,請問各位30cm跟E奶是秉持著買紅K還綠K呢,10,1,"['請益', '購買', '投資', '股票']",股票,M,789,10
0,#分享 【反彈到壓力處之這個盤再硬拉】5/18,近期的台股會跟著美股電子盤走美股電子盤漲台股就漲美股電子盤跌台股就跌但是今天的台股比較特別1 亞股和美股電子盤都開高走低台股走自己的路開高之後一路走高2 不論是512見低反彈,2,5,"['股票', '理財', '投資', '台股', '技術分析']",股票,M,MY叔的投資之路,2
0,#分享 美股屑財報 - ZIM 瘋狂的增速即將熄火？！,IG 美股餅乾屑來看看這次財報內容自行評估一下吧其他更多資訊歡迎參考IG貼文唷股票 主動收入 美股 風險管理 價值投資 美股新手 資產配置 財報 美股財報 ,0,2,"['美股', '投資', '股票', '理財', '股市']",股票,M,美股餅乾屑,0
